Σχολείο/Δομή,Περιοχή,Διεύθυνση,Αναστολή έως και,Παρατηρήσεις:
ΙΙΕΚ ΕΛΛΗΝΙΚΗ ΒΙΟΤΕΧΝΙΚΗ ΕΤΑΙΡΕΙΑ- ΔΙΠΛΑΡΕΙΟΣ ΣΧΟΛΗ ΙΕΚ,ΑΘΗΝΑΙΩΝ,ΠΛΑΤΕΙΑ ΘΕΑΤΡΟΥ 3 ΟΜΟΝΟΙΑ,06-11-2020,Αναστέλλει τη λειτουργία του το ΣΔΟΤ Α ΕΙΔΙΚΟΤΗΤΑΣ ΣΤΕΛΕΧΟΣ ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΟΙΚΟΝΟΜΙΑΣ ΣΤΟΝ ΤΟΜΕΑ ΤΟΥ ΤΟΥΡΙΣΜΟΥ 
ΙΕΚ ΕΛΛΗΝΙΚΟΥ- ΑΡΓΥΡΟΥΠΟΛΗΣ,ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟΛΗΣ,"ΕλευθερίουΒενιζέλου 2-4 και Βουλιαγμένης, έξοδος Σ",08-11-2020,Αναστέλλει τη λειτουργία του το Α ΕΞΑΜΗΝΟΥ ΕΙΔΙΚΟΤΗΤΑΣ ΒΟΗΘΟΣ ΕΡΓΟΘΕΡΑΠΕΙΑΣ 
AMERICAN COMMUNITY SCHOOLS OF ΑTHENS (ΛΥΚΕΙΟ),ΧΑΛΑΝΔΡΙΟΥ,ΑΓ. ΠΑΡΑΣΚΕΥΗΣ 129 & ΚΑΖΑΝΤΖΑΚΗ,06-11-2020,"Αναστέλλουν τη λειτουργία τους : ΤΑΞΗ 11:STEAM 1, DRAMA 1, HEART OF MATH, PERSPECTIVE IN LITERATURE, EARTH AND BEYOND: ASTRONOMY & SPANISH 1 IB ABINITIO"
AMERICAN COMMUNITY SCHOOLS OF ΑTHENS (ΓΥΜΝΑΣΙΟ),ΧΑΛΑΝΔΡΙΟΥ,ΑΓ. ΠΑΡΑΣΚΕΥΗΣ 129 & ΚΑΖΑΝΤΖΑΚΗ,06-11-2020,"Αναστέλλουν τη λειτουργία τους: ΤΑΞΗ 7: EFL 2 LA, EFL 2LD, EFL 2 SCIENCE, PE 7, COMP 7 FTHRG, ADVISORY & PRE ALGEBRA 7"
29ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙΟΥ,ΑΚΑΡΝΑΝΙΑΣ 65,04-11-2020,Αναστέλλει τη λειτουργίσ της η Γ τάξη
1ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΠΕΤΡΟΥΠΟΛΗΣ,ΠΕΤΡΟΥΠΟΛΕΩΣ,ΑΝΑΤΟΛ. ΡΩΜΥΛΙΑΣ 116 - 118  & ΘΕΣΣΑΛΙΑΣ,06-11-2020,Αναστέλλει τη λειτουργία του το Γ5
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΙΑΝΝΑΔΩΝ,ΚΕΡΚΥΡΑΣ,ΓΙΑΝΝΑΔΕΣ,03-11-2020,Αναστέλλει τη λειτουργία της η Α τάξη
9ο ΓΥΜΝΑΣΙΟ ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙΟΥ,ΑΡΓΥΡΟΚΑΣΤΡΟΥ 6,05-11-2020,"Αναστέλλει τη λειτουργία του το Γ1 εώς και 4/11/2020 και τα Γ2, Γ3 & Γ5 έως και 5/11/2020 "
22ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΕΙΡΑΙΑΣ,ΠΕΙΡΑΙΩΣ,Λ.ΧΑΤΖΗΚΥΡΙΑΚΟΥ 2,06-11-2020,
24ο ΝΗΠΙΑΓΩΓΕΙΟ ΠΕΙΡΑΙΑ,ΠΕΙΡΑΙΩΣ,ΧΑΤΖΗΚΥΡΙΑΚΟΥ 2,06-11-2020,
ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΜΕΣΟΠΟΤΑΜΙΑΣ ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ,ΜΕΣΟΠΟΤΑΜΙΑ ΚΑΣΤΟΡΙΑΣ,09-11-2020,"Αναστέλλουν τη λειτουργία τους τα Γ2, Γ ΘΕΤΙΚΩΝ ΣΠΟΥΔΩΝ & Γ ΟΙΚΟΝΟΜΙΑΣ"
ΜΟΥΣΙΚΟ ΓΥΜΝΑΣΙΟ ΠΕΙΡΑΙΑ - ΜΟΥΣΙΚΟ ΣΧΟΛΕΙΟ ΠΕΙΡΑΙΑ,ΠΕΙΡΑΙΩΣ,Κ. ΜΑΥΡΟΜΙΧΑΛΗ 27,06-11-2020,Αναστέλλει τη λειτουργία του το Γ1 ΛΥΚΕΙΟΥ
3ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ,ΛΕΩΦΟΡΟΣ ΓΟΥΝΑΡΑΔΩΝ,06-11-2020,Αναστέλλει τη λειτουργία του το Α2
ΜΟΥΣΙΚΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ,ΚΕΡΚΥΡΑΣ,ΤΖΑΒΡΟΥ-ΚΑΤΩ  ΚΟΡΑΚΙΑΝΑ,04-11-2020,Αναστέλλει τη λειτουργία του το Β2
ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΛΥΚΟΒΡΥΣΗΣ ΑΤΤΙΚΗΣ - ΓΕΛ ΛΥΚΟΒΡΥΣΗΣ,ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ,ΟΔΟΣ ΚΟΤΤΟΥ 6,05-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ1 έως και 4/11/2020 και το Γ4 έως και 5/11/2020
3ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ 54,09-11-2020,Αναστέλλει τη λειτουργία του το Γ1
5ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΝΙΚΑΙΑΣ,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ Ι. ΡΕΝΤΗ,ΣΙΚΕΛΙΑΝΟΥ ΚΑΙ ΒΕΡΓΙΝΑΣ 30,09-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Α3 εώς και 2/11/2020 και το Β2 έως και 9/11/2020
ΙΕΚ ΤΡΙΑΝΔΡΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,Αθαν. Διάκου 17 & Ζαΐμη 2,09-11-2020,Αναστέλλουν τη λειτουργία τους τα Α ΕΙΔΙΚΟΤΗΤΑ Β ΒΡΕΦΟΝΗΠΙΟΚΟΜΙΑΣ
ΙΔΙΩΤΙΚΟ – ΙΣΟΤΙΜΟ ΛΥΚΕΙΟ - Α΄ ΑΡΣΑΚΕΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΨΥΧΙΚΟΥ,[Άγνωστη πόλη],ΑΡΣΑΚΗ 1,06-11-2020,"Αναστέλλει τη λειτουργία του το Α2 εώς και 2/11/2020, τα Γ2 & Γ ΑΓΓΛΙΚΩΝ (ΤΖΑΜΑΛΗ) έως και 3/11/2020, και τα Γ1 & Γ ΑΓΓΛΙΚΩΝ (ΚΟΨΑΧΕΙΛΗ) έως και 6/11/2020"
5ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,ΔΗΜΗΤΡΙΟΥ ΜΑΡΟΥΛΗ 43,08-11-2020,Αναστέλλει τη λειτουργία του το ΣΤ2
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΧΙΛΙΟΔΕΝΔΡΟΥ,ΚΑΣΤΟΡΙΑΣ,ΧΙΛΙΟΔΕΝΔΡΟ,06-11-2020,Αναστέλλει τη λειτουργία του η Α τάξη
ΙΙΕΚ ΑΚΜΗ,Περ. Αττικής, ,06-11-2020,Αναστέλλουν τη λειτουργία τους τα ΕΦΥΣ-Α-1 ΕΙΔΙΚΟΤΗΤΑΣ ΒΟΗΘΟΣ ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ & ΕΡΓ-Α1 ΕΙΔΙΚΟΤΗΤΑΣ ΒΟΗΘΟΣ ΕΡΓΟΘΕΡΑΠΕΙΑΣ έως και 4/11/2020 και τα ΝΑΥΤ Α1-ΕΙΔΙΚΟΤΗΤΑΣ ΣΤΕΛΕΧΟΣ ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΟΙΚΟΝΟΜΙΑΣ ΣΤΟ ΤΟΜΕΑ ΝΑΥΤΙΛΙΑΣ εώς και 6/11/2020
3ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΛΑΡΙΣΑΣ,ΛΑΡΙΣΑΙΩΝ,ΤΕΡΜΑ ΚΑΡΔΙΤΣΗΣ,10-11-2020,Αναστέλλει τη λειτουργία του το Α2
2ο ΝΗΠΙΑΓΩΓΕΙΟ ΤΑΥΡΟΥ,ΜΟΣΧΑΤΟΥ - ΤΑΥΡΟΥ,Λ.ΕΙΡΗΝΗΣ ΚΑΙ ΜΑΚΕΔΟΝΙΑΣ,06-11-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα ΠΡΩΙΝΗ ΖΩΝΗ 1 & ΠΡΩΙΝΟ ΥΠΟΧΡΕΩΤΙΚΟ 2
ΙΕΚ ΚΑΤΕΡΙΝΗΣ,ΚΑΤΕΡΙΝΗΣ,Ηπείρου 10,08-11-2020,Αναστέλλει τη λειτουργία του το ΕΙΔΙΚΟΤΗΤΑ ΣΥΝΟΔΟΣ ΒΟΥΝΟΥ
ΙΕΚ ΠΕΙΡΑΙΑ,ΠΕΙΡΑΙΩΣ,"Πειραιώς 95, Καμίνια",01-11-2020,Αναστέλλουν τη λειτουργία τους τα Γ1 ΕΙΔΙΚΟΤΗΤΑ ΣΤΕΛΕΧΟΣ ΕΦΟΔΙΑΣΤΙΚΗΣ ΑΛΥΣΙΔΑΣ-LOGISTICS
1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΑΣ ΠΕΡΑΜΟΥ,ΜΕΓΑΡΕΩΝ,ΙΩΑΚΕΙΜ ΚΑΡΑΓΙΩΡΓΗ 1,04-11-2020,Αναστέλλει τη λειτουργία του το ΣΤ2
2ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΞΑΝΘΗΣ,ΞΑΝΘΗΣ,ΤΖΑΒΕΛΑ 10,09-11-2020,"Αναστέλλουν τη λειτουργία τους τα Β4, Β7, ΒΘΕΤ3, ΒΘΕΤ5 & Γ8 έως και 7/11/2020 και το Γ1 έως και 9/11/2020"
5ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΑΧΑΡΝΩΝ - ΑΓΙΑ ΑΝΝΑ,ΑΧΑΡΝΩΝ,ΡΟΔΟΠΗΣ Κ ΦΙΛΙΑΤΩΝ,06-11-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Γ1 και Γ2
ΙΔΙΩΤΙΚΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΕΚΠΑΙΔΕΥΤΗΡΙΑ ΓΕΙΤΟΝΑ ΑΕΜΕ,ΚΟΡΩΠΙ,ΣΤΕΡΝΙΖΕΣ ΚΟΡΩΠΙΟΥ,06-11-2020,"Αναστέλλει τη λειτουργία της η Β τάξη και τα Α2, ΓΕ5"
ΕΚΠΑΙΔΕΥΤΗΡΙΑ ΚΩΣΤΕΑ-ΓΕΙΤΟΝΑ / CGS,ΠΑΛΛΗΝΗΣ,Ελαιώνων και Κάτω Βίγλας,06-11-2020,Αναστέλλουν τη λειτουργία τους τα Γ1 & Γ1 ΘΕΤΙΚΟ
7ο ΝΗΠΙΑΓΩΓΕΙΟ ΠΑΛΛΗΝΗΣ,ΠΑΛΛΗΝΗΣ,Κ.ΒΑΡΝΑΛΗ-ΒΑΚΑΛΟΠΟΥΛΟ,06-11-2020,
21ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,ΜΙΑΟΥΛΗ 17,08-11-2020,Αναστέλλει τη λειτουργία του το Β1
2ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΑΝΩ ΛΙΟΣΙΩΝ,ΦΥΛΗΣ,ΠΙΝΔΟΥ ΚΑΙ ΑΛΙΑΚΜΟΝΟΣ,03-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Β1 εώς και 2/11/2020 και το  Β4 έως και 3/11/2020
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΦΑΡΟΥ ΑΥΛΙΔΑΣ,ΧΑΛΚΙΔΕΩΝ,28ΗΣ  ΟΚΤΩΒΡΙΟΥ ΦΑΡΟΣ ΑΥΛΙΔΑΣ,03-11-2020,Αναστέλλει τη λειτουργία του η ΣΤ
1ο ΓΥΜΝΑΣΙΟ ΚΑΜΑΤΕΡΟΥ,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ,ΕΛΛΗΣ ΚΑΙ  ΑΘ.  ΔΙΑΚΟΥ,06-11-2020,Αναστέλλει τη λειτουργία του το Γ1
2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ - ΑΝΤΩΝΗΣ ΣΑΜΑΡΑΚΗΣ,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ Ι. ΡΕΝΤΗ,ΣΟΛΩΝΟΣ ΚΑΙ ΕΛΕΥΘΕΡΙΑΣ,06-11-2020,Αναστέλλει τη λειτουργία του το ΣΤ1
ΡΑΛΛΕΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΘΗΛΕΩΝ ΠΕΙΡΑΙΑ,ΠΕΙΡΑΙΩΣ,ΓΡΗΓΟΡΙΟΥ ΛΑΜΠΡΑΚΗ 1,06-11-2020,Αναστέλλουν τη λειτουργία τους το Γ5 και το Α3
6ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΙΛΙΟΥ,ΙΛΙΟΥ (ΝΕΩΝ ΛΙΟΣΙΩΝ),ΓΑΛΕΡΙΟΥ ΚΑΙ ΚΑΠΠΑΔΟΚΙΑΣ 15,09-11-2020,Αναστέλλουν τη λειτουργία τους τα Α6 & Γ2
2ο ΕΠΑΛ ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,ΜΕΡΑΡΧΙΑΣ 153,05-11-2020,
1ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,ΤΕΡΜΑ ΠΑΛΑΙΑ ΣΦΑΓΕΙΑ,03-11-2020,Αναστέλλουν τη λειτουργία τους τα Β4 & ΒΘΕΤ3
4ο ΕΣΠΕΡΙΝΟ ΕΠΑΛ ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,ΕΘΝΙΚΗ ΟΔΟΣ ΣΕΡΡΩΝ - ΘΕΣΣΑΛΟΝΙΚΗΣ 1 ΧΛΜ,08-11-2020,Αναστέλλει τη λειτουργία του το Β ΗΛΕΚΤΡΟΛΟΓΩΝ
5ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,ΑΝΝΗΣ ΤΡΙΑΝΤΑΦΥΛΛΙΔΗ 2,08-11-2020,Αναστέλλουν τη λειτουργία τους το Α1 εώς και 1/11/2020 και τα Γ3 &ΓΘ1 έως και 8/11/2020
1ο ΕΠΑΛ ΑΞΙΟΥΠΟΛΗΣ ΚΙΛΚΙΣ,ΠΑΙΟΝΙΑΣ,ΠΑΡΟΔΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,29-10-2020,Αναστέλλουν τη λειτουργία τους τα Γ2 & ΕΙΔΙΚΟΤΗΤΑ ΤΕΧΝΙΚΟΣ H/Y  ΚΑΙ ΔΙΚΤΥΩΝ
35ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙΟΥ,ΑΝΤΙΦΑΝΟΥΣ 17  ΚΑΙ ΦΙΛΙΚΩΝ,06-11-2020,Αναστέλλει τη λειτουργία του το Α1
ΠΡΟΤΥΠΟ ΓΥΜΝΑΣΙΟ ΙΩΝΙΔΕΙΟΥ ΣΧΟΛΗΣ ΠΕΙΡΑΙΑ,ΠΕΙΡΑΙΩΣ,ΣΩΤΗΡΟΣ ΔΙΟΣ 17,06-11-2020,Αναστέλλει τη λειτουργία του το Β4
1ο ΕΠΑΛ ΑΡΝΑΙΑΣ ΧΑΛΚΙΔΙΚΗΣ,ΑΡΙΣΤΟΤΕΛΗ,ΑΡΝΑΙΑ,08-11-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Γ3 & Γ ΟΙΚΟΝΟΜΙΑΣ
1ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΑΣΠΡΟΠΥΡΓΟΥ,ΑΣΠΡΟΠΥΡΓΟΥ,ΑΓΙΑΣ ΜΑΡΙΝΗΣ 21,04-11-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Γ3 & ΓΟΠ1 εώς και  27/10/2020  και το Α8 έως και 4/11/2020
1ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΕΛΕΥΣΙΝΟΣ ΑΤΤΙΚΗΣ,ΕΛΕΥΣΙΝΑΣ,ΑΘΗΝΑΣ 22,09-11-2020,
1ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΠΕΙΡΑΙΑ,ΠΕΙΡΑΙΩΣ,ΑΦΕΝΤΟΥΛΗ 5,05-11-2020,Αναστέλλει τη λειτουργία του το Α2 έως και 4/11/2020 και το Γ3 εώς και 5/11/2020
6ο ΓΥΜΝΑΣΙΟ ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,ΑΗΛΙΟΣΤΡΑΤΑΣ 21,05-11-2020,Αναστέλλει τη λειτουργία του το Γ1
1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΤΡΙΠΟΛΗΣ,ΤΡΙΠΟΛΗΣ,ΛΥΚΑΙΟΥ ΤΕΡΜΑ,09-11-2020,Αναστέλλει τη λειτουργία του το Ε1
65ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΑΘΗΝΩΝ,ΑΘΗΝΑΙΩΝ,ΝΙΡΒΑΝΑ 44-46,05-11-2020,Αναστέλλουν τη λειτουργία τους τα Β1 & Β ΘΕΤΙΚΟ 1
4ο ΓΥΜΝΑΣΙΟ ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,ΜΑΚΡΥΓΙΑΝΝΗ 26,09-11-2020,Αναστέλλει τη λειτουργία του το Α3 εώς και 6/11/2020 και το Α1 έως και 9/11/2020
144ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΘΗΝΩΝ,ΑΘΗΝΑΙΩΝ,ΧΑΤΖΗΑΠΟΣΤΟΛΟΥ ΚΑΙ ΜΕΤΟΧΙΤΗ 1,03-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Ε1
3ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,ΜΑΚΡΥΓΙΑΝΝΗ 24,05-11-2020,Αναστέλλουν τη λειτουργία τους τα Β1 & Β2 ΘΕΤΙΚΩΝ ΣΠΟΥΔΩΝ
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΗΜΑΝΤΡΩΝ,ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,ΣΗΜΑΝΤΡΑ ΧΑΛΚΙΔΙΚΗΣ,04-11-2020,Αναστέλλουν τη λειτουργία τους τα Β & ΟΛΟΗΜΕΡΟ
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΓΑΛΗΣ ΒΡΥΣΗΣ,ΚΙΛΚΙΣ,ΜΕΓΑΛΗ ΒΡΥΣΗ,04-11-2020,Αναστέλλει τη λειτουργία της η Α τάξη
ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΣΙΔΗΡΟΚΑΣΤΡΟΥ ΣΕΡΡΩΝ - ΠΑΛΛΑΤΙΔΕΙΟ,ΣΙΝΤΙΚΗΣ,ΠΑΛΛΑΤΙΔΗ  4-6,08-11-2020,Αναστέλλει τη λειτουργία του το Γ2
ΙΔΙΩΤΙΚΟ ΛΥΚΕΙΟ ΣΕΡΡΕΣ - ΑΡΙΣΤΟΤΕΛΕΙΟ ΕΚΠΑΙΔΕΥΤΗΡΙΟ,ΣΕΡΡΩΝ,6ο χλμ Σερρών Δράμας,08-11-2020,Αναστέλλει τη λειτουργία του το Α1
ΙΔΙΩΤΙΚΟ ΓΥΜΝΑΣΙΟ ΣΕΡΡΕΣ - ΑΡΙΣΤΟΤΕΛΕΙΟ ΕΚΠΑΙΔΕΥΤΗΡΙΟ,ΣΕΡΡΩΝ,ΕΚΤΟ ΧΛΜ ΣΕΡΡΩΝ ΔΡΑΜΑΣ,08-11-2020,Αναστέλλει τη λειτουργία του το Γ1
ΜΟΥΣΙΚΟ ΓΥΜΝΑΣΙΟ ΣΕΡΡΩΝ-ΛΥΚΕΙΑΚΕΣ ΤΑΞΕΙΣ,ΣΕΡΡΩΝ,ΠΡΩΤΟ ΧΙΛ ΣΕΡΡΩΝ-ΝΕΟΧΩΡΙΟΥ,08-11-2020,Αναστέλλει τη λειτουργία του το Α2
2ο ΕΠΑΓΓΕΛΜΑΤΙΚΟ ΛΥΚΕΙΟ ΤΡΙΚΑΛΩΝ,ΤΡΙΚΚΑΙΩΝ,ΟΙΚΙΣΜΟΣ ΠΥΡΓΟΣ,08-11-2020,"Αναστέλλουν τη λειτουργία τους τα Β ΥΓΕΙΑΣ 1 & Β ΟΙΚΟΝΟΜΙΑΣ 2 εώς και 6/11/2020 και τα Γ ΤΕΧΝΙΚΟΣ ΔΟΜΙΚΩΝ ΕΡΓΩΝ ΚΑΙ ΓΕΩΠΛΗΡΟΦΟΡΙΚΗΣ, Γ ΓΡΑΦΙΚΩΝ ΤΕΧΝΩΝ, Γ ΤΕΧΝΙΚΟΣ ΖΩΙΚΗΣ ΠΑΡΑΓΩΓΗΣ & Γ ΤΕΧΝΙΚΟΣ ΤΕΧΝΟΛΟΓΙΑΣ ΤΡΟΦΙΜΩΝ ΚΑΙ ΠΟΤΩΝ έως και 8/11/2020"
Μ/KO ΙΕΡΟΣΠΟΥΔΑΣΤΗΡΙΟ ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΠΑΛΑΙΟΛΟΓΟΥ 8,08-11-2020,Αναστέλλει τη λειτουργία του το Γ2
2ο ΝΗΠΙΑΓΩΓΕΙΟ ΓΟΥΜΕΝΙΣΣΑΣ ,ΠΑΙΟΝΙΑΣ,ΑΝΑΤΟΛΙΚΗΣ ΡΩΜΥΛΙΑΣ 30,05-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Κλασικό
2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΟΥΜΕΝΙΣΣΑΣ,ΠΑΙΟΝΙΑΣ,ΑΝΑΤΟΛΙΚΗΣ ΡΩΜΥΛΙΑΣ 30,30-10-2020,Αναστέλλει τη λειτουργία του το Ολοήμερο
9ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΧΑΡΝΩΝ,ΑΧΑΡΝΩΝ,ΑΓΙΑΣ ΑΝΝΑΣ 45,06-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ1 εώς και 28/10/2020 και το ΣΤ1 έως και 6/11/2020
1ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΖΩΓΡΑΦΟΥ,ΖΩΓΡΑΦΟΥ,ΚΡΙΝΩΝ 26,05-11-2020,
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΡΟΠΗΣ,ΟΙΧΑΛΙΑΣ,ΜΕΡΟΠΗ ΜΕΣΣΗΝΙΑ,08-11-2020,Αναστέλλει τη λειτουργία της η Α τάξη
1ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΙΩΑΝΝΙΝΩΝ,ΙΩΑΝΝΙΤΩΝ,Π. ΜΕΚΑΛΗ 5,07-11-2020,Αναστέλλει τη λειτουργία του το Α3
1ο ΕΠΑΛ ΛΑΓΚΑΔΑ,ΛΑΓΚΑΔΑ,1o ΧΙΛ. ΛΑΓΚΑΔΑ-ΧΡΥΣΑΥΓΗΣ,03-11-2020,"Αναστέλλουν τη λειτουργία τους τα τμήματα  ΘΕΡΜ. & ΥΔΡΑΥΛ. ΕΓΚΑΤΑΣΤΑΣΕΩΝ ΚΑΙ ΕΓΚΑΤ. ΨΥΞΗΣ, ΑΕΡ. & ΚΛΙΜΑΤΙΣΜΟΥ"
ΙΔΙΩΤΙΚΟ ΓΥΜΝΑΣΙΟ ΔΕΛΑΣΑΛ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,"Τ.Θ.6 ΑΣΒΕΣΤΟΧΩΡΙ , ΠΕΥΚΑ",01-11-2020,Αναστέλλει τη λειτουργία της η Α τάξη
ΕΙΔΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΟΜΟΤΗΝΗΣ - ΕΙΔΙΚΟ ΣΧΟΛΕΙΟ ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,ΜΕΡ. ΣΕΡΡΩΝ 1,03-11-2020,
ΕΙΔΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,ΜΕΡΑΡΧΙΑΣ ΣΕΡΡΩΝ 1,03-11-2020,
6ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΒΟΛΟΥ,ΒΟΛΟΥ,ΖΑΧΟΥ 64,30-10-2020,Αναστέλλει τη λειτουργία του το Α1
6ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΡΙΣΑΣ,ΛΑΡΙΣΑΙΩΝ,31ΗΣ ΑΥΓΟΥΣΤΟΥ 34,09-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ2 εώς και 4/11/2020 και το Β2 έως και 9/11/2020
3ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,ΔΗΜΗΤΡΑΣ 1,06-11-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Γ1 & Γ1.2 ΑΝΘΡΩΠΙΣΤΙΚΩΝ ΣΠΟΥΔΩΝ  έως και 5/11/2020 και τα Β2 & Β1.1 ΑΝΘΡΩΠΙΣΤΙΚΩΝ ΣΠΟΥΔΩΝ έως και 6/11/2020
