Σχολείο/Δομή,Περιοχή,Διεύθυνση,Αναστολή έως και,Παρατηρήσεις:
18ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΧΑΡΝΩΝ,ΑΧΑΡΝΩΝ,Αγ.Πέτρου και Σαμψούντος,30-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Α1
1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΑΠΟΛΗΣ,ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,ΕΛ. ΒΕΝΙΖΕΛΟΥ 99,28-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Α1
ΕΕΕΕΚ ΠΑΥΛΟΥ ΜΕΛΑ,ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,ΕΥΚΛΕΙΔH 8,28-10-2020,
4ο ΓΥΜΝΑΣΙΟ ΑΜΠΕΛΟΚΗΠΩΝ ΘΕΣΣΑΛΟΝΙΚΗΣ - ΝΙΚΟΣ ΚΑΖΑΝΤΖΑΚΗΣ,ΑΜΠΕΛΟΚΗΠΩΝ-ΜΕΝΕΜΕΝΗΣ,ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ 57,28-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ3
3ο ΓΥΜΝΑΣΙΟ ΣΥΚΕΩΝ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,ΟΔΥΣΣΕΑ ΦΩΚΑ 17,29-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Β3
1ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΣΥΚΕΩΝ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,ΕΠΤΑΠΥΡΓΙΟΥ 150,28-10-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Γ2 & Γ1 Ανθρωπιστικών Σπουδών 
ΙΔΙΩΤΙΚΟ Ν/ΓΕΙΟ ΓΕΩΡΓΙΑΣ ΓΙΑΝΝΑΚΟΠΟΥΛΟΥ,ΑΝΑΤΟΛΗ ΙΩΑΝΝΙΤΩΝ,ΙΟΥΣΤΙΝΙΑΝΟΥ 52,01-11-2020,
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΤΣΟΒΟΥ - ΤΟΣΙΤΣEΙΟ,ΜΕΤΣΟΒΟΥ,ΜΕΤΣΟΒΟ,02-11-2020,Αναστέλλει τη λειτουργία του το τμήμα ΣΤ2
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΤΣΙΚΑ,ΙΩΑΝΝΙΤΩΝ,Βασιλείου Μελά 1,02-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Β1
4ο ΕΙΔΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΙΩΑΝΝΙΝΩΝ,ΙΩΑΝΝΙΤΩΝ,ΔΩΔΩΝΗΣ 6,02-11-2020,
2ο ΝΗΠΙΑΓΩΓΕΙΟ ΓΛΥΚΩΝ ΝΕΡΩΝ,ΠΑΙΑΝΙΑΣ,ΤΡΙΦΥΛΛΙΑΣ ΚΑΙ ΑΡΓΟΣΤΟΛΙΟΥ,30-10-2020,ΑΝΑΣΤΕΛΛΕΙ ΤΗ ΛΕΙΤΟΥΡΓΙΑ ΤΗΣ ΟΛΗ Η ΣΧΟΛΙΚΗ ΟΜΑΔΑ ΠΛΗΝ ΠΑΡΑΡΤΗΜΑΤΟΣ
18ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,ΧΑΡΙΛΑΟΥ ΤΡΙΚΟΥΠΗ 34,02-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ2 έως και 26-10-2020 και το τμήμα Β1 έως και 02-11-2020
"1ο ΓΥΜΝΑΣΙΟ ΣΥΚΕΩΝ ""ΟΔΥΣΣΕΑΣ ΦΩΚΑΣ""",ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,ΔΗΜΗΤΡΙΟΥ ΓΛΗΝΟΥ 13,28-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ2
1o ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΕΧΕΔΩΡΟΥ,ΔΕΛΤΑ,Κ.ΠΑΛΑΜΑ 1,28-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Α1
3ο ΕΣΠΕΡΙΝΟ ΕΠΑΛ ΛΑΡΙΣΑΣ,ΛΑΡΙΣΑΙΩΝ,ΙΟΥΣΤΙΝΙΑΝΟΥ ΚΑΙ ΚΟΜΝΗΝΩΝ 6,03-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Β1 Οικονομίας
